arm,checkpoint,step,temperature,sliding_window,cache_mode,transport,scored_eviction,carriers,seed,split,examples,skipped_overlong,parseable,valid,exact,mean_board_square_error,mean_metadata_errors,elapsed_s,target_nll_per_token,recent_window,memory_tokens,cache_budget
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,,preserve,False,False,False,1337,val,32,16,32,31,12,1.1875,0.09375,0.432171106338501,0.10034491992064691,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,,restart,False,False,False,1337,val,32,16,32,31,12,1.1875,0.09375,0.5139219760894775,0.10034490650535649,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,,restart-each,False,False,False,1337,val,32,16,32,31,12,1.1875,0.09375,9.779324293136597,0.1003449075242393,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,192,preserve,False,False,False,1337,val,32,16,32,31,12,1.25,0.09375,0.6254599094390869,0.10285439025982153,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,192,restart,False,False,False,1337,val,32,16,32,30,12,1.1875,0.09375,0.48209381103515625,0.10308249180133526,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,192,restart-each,False,False,False,1337,val,32,16,32,30,12,1.1875,0.125,8.46291708946228,0.10836049702092793,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,128,preserve,False,False,False,1337,val,32,16,30,29,11,1.7333333333333334,0.06666666666666667,0.49733924865722656,0.2474016677959692,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,128,restart,False,False,False,1337,val,32,16,31,28,11,1.903225806451613,0.16129032258064516,0.5976700782775879,0.25181471146749296,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,128,restart-each,False,False,False,1337,val,32,16,30,26,11,2.066666666666667,0.13333333333333333,7.816548824310303,0.28924139374681346,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,96,preserve,False,False,False,1337,val,32,16,28,24,9,2.5357142857142856,0.17857142857142858,0.44636106491088867,0.6455046502273647,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,96,restart,False,False,False,1337,val,32,16,31,25,9,4.129032258064516,0.25806451612903225,0.5620207786560059,0.6556889036102512,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,96,restart-each,False,False,False,1337,val,32,16,28,22,9,4.071428571428571,0.32142857142857145,8.51950478553772,0.752002312417044,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,64,preserve,False,False,False,1337,val,32,16,26,11,4,8.307692307692308,0.5,0.4898800849914551,1.4621030211109043,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,64,restart,False,False,False,1337,val,32,16,25,13,4,8.04,0.56,0.45964908599853516,1.537620543414711,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,64,restart-each,False,False,False,1337,val,32,16,26,9,3,11.76923076923077,0.9230769230769231,7.531180143356323,1.7586845324250029,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,32,preserve,False,False,False,1337,val,32,16,14,0,0,21.071428571428573,1.1428571428571428,0.3928210735321045,3.5247796772212383,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,32,restart,False,False,False,1337,val,32,16,10,0,0,19.7,1.1,0.3648843765258789,3.6117423424693595,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,32,restart-each,False,False,False,1337,val,32,16,2,0,0,22.5,1.0,11.009225130081177,3.779427519381216,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,16,preserve,False,False,False,1337,val,32,16,0,0,0,,,1.1852819919586182,4.757266329394446,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,16,restart,False,False,False,1337,val,32,16,0,0,0,,,0.9262588024139404,4.84283948742766,,,
baseline,runs/baseline/checkpoint-0006000.npz,6000,0.0,16,restart-each,False,False,False,1337,val,32,16,0,0,0,,,11.695430278778076,4.979321623459841,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,,preserve,False,False,False,1337,val,32,16,26,22,0,9.0,0.19230769230769232,13.237744092941284,0.7001718238547996,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,,restart,False,False,False,1337,val,32,16,26,22,0,9.0,0.19230769230769232,8.925209999084473,0.7001717949864531,,,
memento,runs/controlled-memento/checkpoint-0000500.npz,500,0.0,,restart-each,False,False,False,1337,val,32,16,26,22,0,9.0,0.19230769230769232,33.99423384666443,0.7001717970242188,,,
